instance,method,seed,value,time,evaluations,feasible,gen_to_best,final_diversity
ASC_n500_R1000_s901,GA-FIX-2P+SWAP,0,158609.0,3.181911043000582,19700,True,113,0.0049440000000000005
ASC_n500_R1000_s901,GA-FIX-2P+SWAP,1,158813.0,3.0952700310008368,19700,True,61,0.0035808000000000007
ASC_n500_R1000_s901,GA-FIX-2P+SWAP,2,158811.0,3.182315545996971,19700,True,46,0.0027312000000000013
ASC_n500_R1000_s901,GA-FIX-2P+SWAP,3,158815.0,2.8227847300004214,19700,True,121,0.0026848000000000006
ASC_n500_R1000_s901,GA-FIX-2P+SWAP,4,158716.0,2.8472409599999082,19700,True,110,0.0040224000000000015
ASC_n500_R1000_s901,GA-FIX-2P+SWAP,5,158721.0,2.7717051370018453,19700,True,180,0.008700000000000003
ASC_n500_R1000_s901,GA-FIX-UX+BF1,0,158803.0,2.9509868519999145,19700,True,172,0.0020984000000000007
ASC_n500_R1000_s901,GA-FIX-UX+BF1,1,158814.0,2.9511019669989764,19700,True,82,0.0016344000000000007
ASC_n500_R1000_s901,GA-FIX-UX+BF1,2,158808.0,2.2685215469973627,19700,True,59,0.001615200000000001
ASC_n500_R1000_s901,GA-FIX-UX+BF1,3,158807.0,2.508208579998609,19700,True,158,0.0010944000000000006
ASC_n500_R1000_s901,GA-FIX-UX+BF1,4,158807.0,3.0013342069978535,19700,True,70,0.0021680000000000002
ASC_n500_R1000_s901,GA-FIX-UX+BF1,5,158812.0,2.718227522000234,19700,True,53,0.0015424000000000006
ASC_n500_R1000_s901,GA-FIX-UX+BF3,0,158811.0,3.3802802030004386,19700,True,126,0.012912000000000007
ASC_n500_R1000_s901,GA-FIX-UX+BF3,1,158815.0,3.47778692400243,19700,True,123,0.03634640000000001
ASC_n500_R1000_s901,GA-FIX-UX+BF3,2,158816.0,3.3367105350007478,19700,True,87,0.009634400000000007
ASC_n500_R1000_s901,GA-FIX-UX+BF3,3,158819.0,2.4944801759993425,19700,True,168,0.04260640000000001
ASC_n500_R1000_s901,GA-FIX-UX+BF3,4,158811.0,3.231060697002249,19700,True,149,0.014388000000000007
ASC_n500_R1000_s901,GA-FIX-UX+BF3,5,158811.0,2.869346671999665,19700,True,39,0.03741760000000001
ASC_n500_R1000_s901,GA-FIX-UX+SWAP,0,158816.0,3.2783393480021914,19700,True,190,0.012384000000000004
ASC_n500_R1000_s901,GA-FIX-UX+SWAP,1,158819.0,3.473655362999125,19700,True,99,0.012296800000000004
ASC_n500_R1000_s901,GA-FIX-UX+SWAP,2,158811.0,3.4622899540008802,19700,True,47,0.0029968000000000004
ASC_n500_R1000_s901,GA-FIX-UX+SWAP,3,158813.0,3.5017573699988134,19700,True,182,0.027665600000000005
ASC_n500_R1000_s901,GA-FIX-UX+SWAP,4,158819.0,3.2582510769971122,19700,True,104,0.0035192000000000005
ASC_n500_R1000_s901,GA-FIX-UX+SWAP,5,158814.0,3.12360734899994,19700,True,60,0.005830400000000003
SC_n500_R1000_s900,GA-FIX-1P+BF1,0,157746.0,2.269826052001008,19700,True,32,0.003696800000000001
SC_n500_R1000_s900,GA-FIX-1P+BF1,1,157746.0,2.5378210759990907,19700,True,60,0.0045288
SC_n500_R1000_s900,GA-FIX-1P+BF1,2,157846.0,2.750399134998588,19700,True,136,0.0041752000000000004
SC_n500_R1000_s900,GA-FIX-1P+BF1,3,157746.0,2.4121713700005785,19700,True,36,0.004329600000000001
SC_n500_R1000_s900,GA-FIX-1P+BF1,4,157746.0,2.3663234150008066,19700,True,36,0.0027488000000000005
SC_n500_R1000_s900,GA-FIX-1P+BF1,5,157746.0,2.21828740699857,19700,True,27,0.004026400000000001
SC_n500_R1000_s900,GA-FIX-1P+BF3,0,157946.0,3.262584780000907,19700,True,46,0.009520000000000004
SC_n500_R1000_s900,GA-FIX-1P+BF3,1,157946.0,3.170353718000115,19700,True,46,0.015650400000000005
SC_n500_R1000_s900,GA-FIX-1P+BF3,2,157846.0,1.9673947789997328,19700,True,26,0.013195200000000004
SC_n500_R1000_s900,GA-FIX-1P+BF3,3,157846.0,2.8038578840023547,19700,True,51,0.014137600000000005
SC_n500_R1000_s900,GA-FIX-1P+BF3,4,157946.0,3.1507464070018614,19700,True,45,0.012054400000000005
SC_n500_R1000_s900,GA-FIX-1P+BF3,5,157846.0,2.954082185999141,19700,True,72,0.029219200000000008
SC_n500_R1000_s900,GA-FIX-1P+SWAP,0,157846.0,2.7429063210001914,19700,True,42,0.007845600000000001
SC_n500_R1000_s900,GA-FIX-1P+SWAP,1,157846.0,3.111552369999117,19700,True,41,0.005452000000000002
SC_n500_R1000_s900,GA-FIX-1P+SWAP,2,157846.0,2.9428330260016082,19700,True,34,0.013801600000000002
SC_n500_R1000_s900,GA-FIX-1P+SWAP,3,157846.0,3.233429638999951,19700,True,48,0.005912800000000001
SC_n500_R1000_s900,GA-FIX-1P+SWAP,4,157846.0,3.092648255002132,19700,True,46,0.005715200000000001
SC_n500_R1000_s900,GA-FIX-1P+SWAP,5,157846.0,2.0548698140009947,19700,True,59,0.0060896000000000014
SC_n500_R1000_s900,GA-FIX-2P+BF1,0,157846.0,2.7149456570004986,19700,True,29,0.002807200000000001
