instance,method,seed,value,time,evaluations,feasible,gen_to_best,final_diversity,reference,gap_pct,optimal_hit,family,class,n,m
SC_n500_R1000_s900,GA-QL,5,157846.0,2.557497876998241,19700,True,43,0.006946400000000003,157946.0,0.06331277778481254,False,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-QL-a,0,157846.0,2.626317910999205,19700,True,64,0.010113600000000004,157946.0,0.06331277778481254,False,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-QL-a,1,157946.0,2.40955255299923,19700,True,32,0.0033664000000000003,157946.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-QL-a,2,157946.0,2.976239389998227,19700,True,31,0.0070592000000000025,157946.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-QL-a,3,157946.0,3.073229697001807,19700,True,28,0.004685600000000001,157946.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-QL-a,4,157846.0,2.9458974699991813,19700,True,30,0.015612800000000007,157946.0,0.06331277778481254,False,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-QL-a,5,157946.0,2.5668753440004366,19700,True,54,0.005544800000000002,157946.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-QL-b,0,157946.0,2.737021700999321,19700,True,37,0.009280800000000004,157946.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-QL-b,1,157946.0,2.827055243000359,19700,True,36,0.010099200000000004,157946.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-QL-b,2,157946.0,3.0271826249991136,19700,True,31,0.0027520000000000014,157946.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-QL-b,3,157846.0,2.507223944998259,19700,True,24,0.009685600000000003,157946.0,0.06331277778481254,False,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-QL-b,4,157846.0,2.509225255002093,19700,True,39,0.009988000000000004,157946.0,0.06331277778481254,False,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-QL-b,5,157846.0,2.840324683002109,19700,True,43,0.006946400000000003,157946.0,0.06331277778481254,False,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-QL-c,0,157846.0,2.7982986729984987,19700,True,37,0.005604000000000001,157946.0,0.06331277778481254,False,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-QL-c,1,157946.0,2.421532477001165,19700,True,37,0.0034208000000000003,157946.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-QL-c,2,157946.0,2.991764416998194,19700,True,59,0.004059200000000001,157946.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-QL-c,3,157946.0,2.681753574997856,19700,True,39,0.011800000000000005,157946.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-QL-c,4,157946.0,2.9531190829984553,19700,True,39,0.001479200000000001,157946.0,0.0,True,pisinger-gen,SC,500,1
