instance,family,class,n,m,optimum_file,greedy,t_greedy,ub_lp,f_n,f_m,f_tightness,f_corr_vw,f_cv_ratio,f_cv_w,f_cv_v,f_greedy_gap_ub,milp,t_milp,milp_status,milp_bound
OR5x250-0.25_3.dat,orlib-mkp,MKP-OR5x250,250,5,,60815.0,0.0036537449996103533,62259.54463651344,250,5,0.2500020196868032,0.604952979411846,0.25073380710193327,0.2603205311817368,0.24351138348508725,0.023201978828259164,62050.0,60.009919012001774,limite de temps,62219.0
OR5x250-0.25_4.dat,orlib-mkp,MKP-OR5x250,250,5,,54917.0,0.002393989998381585,59578.227593098265,250,5,0.2500004140588475,0.740234334541929,0.24371252014583863,0.27213258905935933,0.2872427989867366,0.07823709736605586,59424.0,60.005980619000184,limite de temps,59559.0
OR5x250-0.25_5.dat,orlib-mkp,MKP-OR5x250,250,5,,57028.0,0.001989581000088947,59078.36643133077,250,5,0.24999961999923262,0.6724777749887101,0.2729121271635623,0.2563209724408836,0.25115226337094815,0.034705875520678,58933.0,60.00953700199898,limite de temps,59054.0
OR5x250-0.25_6.dat,orlib-mkp,MKP-OR5x250,250,5,,57526.0,0.002409953998721903,60238.93373884298,250,5,0.24999960041591293,0.664240058800318,0.24825957659144757,0.25514951367199384,0.26250977316202195,0.04503621778241464,60033.0,60.00535930700062,limite de temps,60206.0
OR5x250-0.25_7.dat,orlib-mkp,MKP-OR5x250,250,5,,58129.0,0.0025135670002782717,60525.76683341332,250,5,0.2500003842780044,0.7344719547320977,0.22404849959617695,0.27250775485149303,0.26299595162050815,0.03959911553058063,60386.0,60.008550206999644,limite de temps,60498.0
OR5x250-0.25_8.dat,orlib-mkp,MKP-OR5x250,250,5,,58524.0,0.0024140620007528923,61638.39957329196,250,5,0.25000111480365406,0.6671757262502299,0.2243704733789505,0.24385027650123156,0.24946917469470342,0.050526937669572995,61440.0,60.00496074200055,limite de temps,61606.0
OR5x250-0.25_9.dat,orlib-mkp,MKP-OR5x250,250,5,,59929.0,0.002308417999302037,62032.594706019365,250,5,0.24999998819884445,0.7218597307609446,0.2579437054086672,0.29226788255815433,0.2803730623564152,0.03391111908164695,61870.0,60.009438088000024,limite de temps,61987.0
weing1.dat,orlib-mkp,MKP-weing,28,2,141278.0,139278.0,0.00029531900145229883,142019.0,28,2,0.5681742043551088,0.5239621284962062,1.9600946820333682,0.9379806825137482,1.370366638501799,0.019300234475668747,141278.0,0.032653461003064876,optimal,141278.0
weing2.dat,orlib-mkp,MKP-weing,28,2,130883.0,121880.0,0.0003206950023013633,131637.47999999998,28,2,0.47347850362925736,0.5239621284962062,1.960094682033368,0.9379806825137482,1.370366638501799,0.07412387414283518,130883.0,0.013420171999314334,optimal,130883.0
weing3.dat,orlib-mkp,MKP-weing,28,2,95677.0,93278.0,0.0003386610005691182,99647.07921568627,28,2,0.2840871021775544,0.5239621284962062,1.9600946820333682,0.9379806825137482,1.370366638501799,0.06391636629810685,95677.0,0.034644035000383155,optimal,95677.0
weing4.dat,orlib-mkp,MKP-weing,28,2,119337.0,119337.0,0.0003647999983513728,122505.24922696351,28,2,0.4348408710217755,0.5239621284962062,2.135783465727094,0.9379806825137482,1.370366638501799,0.02586215078093304,119337.0,0.01450539700090303,optimal,119337.0
weing5.dat,orlib-mkp,MKP-weing,28,2,98796.0,95627.0,0.00038936200144235045,100433.152,28,2,0.41742043551088776,0.5239621284962062,1.796171604044561,0.9379806825137482,1.370366638501799,0.0478542384092456,98796.0,0.011798857001849683,optimal,98796.0
weing6.dat,orlib-mkp,MKP-weing,28,2,130623.0,128322.0,0.00032705299963708967,131335.0,28,2,0.4995265214963707,0.5239621284962062,1.9293394850546026,0.9379806825137482,1.370366638501799,0.02294133323181178,130623.0,0.01236464999965392,optimal,130623.0
weing7.dat,orlib-mkp,MKP-weing,105,2,1095445.0,1090337.0,0.001087232001736993,1095721.2,105,2,0.8170390067557309,0.21683703548180938,2.1023625902195056,1.0904469509921573,1.4008187552093492,0.004913841221653787,1095445.0,0.04064861799997743,optimal,1095445.0
weing8.dat,orlib-mkp,MKP-weing,105,2,624319.0,620060.0,0.001208106998092262,628773.6830769231,105,2,0.13617316779262184,0.21683703548180938,2.102362590219506,1.0904469509921573,1.4008187552093492,0.013858218483767415,624319.0,0.11771076900186017,optimal,624319.0000000001
